gamma,reg_param,adh
100,0.01,0.01
100,0.01,0.1
100,0.01,100
100,0.01,10
100,0.01,1
100,0.05,0.01
100,0.05,0.1
100,0.05,100
100,0.05,10
100,0.05,1
100,0.1,0.01
100,0.1,0.1
100,0.1,100
100,0.1,10
100,0.1,1
100,0.5,0.01
100,0.5,0.1
100,0.5,100
100,0.5,10
100,0.5,1
100,1,0.01
100,1,0.1
100,1,100
100,1,10
100,1,1
10,0.01,0.01
10,0.01,0.1
10,0.01,100
10,0.01,10
10,0.01,1
10,0.05,0.01
10,0.05,0.1
10,0.05,100
10,0.05,10
10,0.05,1
10,0.1,0.01
10,0.1,0.1
10,0.1,100
10,0.1,10
10,0.1,1
10,0.5,0.01
10,0.5,0.1
10,0.5,100
10,0.5,10
10,0.5,1
10,1,0.01
10,1,0.1
10,1,100
10,1,10
10,1,1
20,0.01,0.01
20,0.01,0.1
20,0.01,100
20,0.01,10
20,0.01,1
20,0.05,0.01
20,0.05,0.1
20,0.05,100
20,0.05,10
20,0.05,1
20,0.1,0.01
20,0.1,0.1
20,0.1,100
20,0.1,10
20,0.1,1
20,0.5,0.01
20,0.5,0.1
20,0.5,100
20,0.5,10
20,0.5,1
20,1,0.01
20,1,0.1
20,1,100
20,1,10
20,1,1
40,0.01,0.01
40,0.01,0.1
40,0.01,100
40,0.01,10
40,0.01,1
40,0.05,0.01
40,0.05,0.1
40,0.05,100
40,0.05,10
40,0.05,1
40,0.1,0.01
40,0.1,0.1
40,0.1,100
40,0.1,10
40,0.1,1
40,0.5,0.01
40,0.5,0.1
40,0.5,100
40,0.5,10
40,0.5,1
40,1,0.01
40,1,0.1
40,1,100
40,1,10
40,1,1
